Price,dia,tempMedia,tempMax,tempMin,humedadMedia,humedadMax,humedadMin,velViento,dirViento,velVientoMax,dirVientoVelMax,radiacion,precipitacion,Dia,Mes,Año
86,217.0,26.88,29.61,24.37,72.5,81.3,61.1,1.115,121.1,5.174,159.3,25.4,0.0,4,8,2020
42,218.0,27.6,31.75,23.84,64.42,81.2,47.62,1.076,132.7,4.616,150.8,26.99,0.0,5,8,2020
66,219.0,28.33,34.28,23.18,54.35,75.1,28.27,1.521,97.5,6.468,130.9,26.22,0.0,6,8,2020
84,220.0,26.41,30.35,22.25,68.15,78.7,52.54,1.143,239.1,4.449,249.7,25.34,0.0,7,8,2020
93,221.0,26.31,31.68,21.84,63.4,82.7,31.41,0.733,223.0,2.911,354.7,24.16,0.0,8,8,2020
110,223.0,27.24,33.69,22.84,67.62,85.5,39.21,1.5510000000000002,254.7,7.79,257.9,19.19,0.8,10,8,2020
111,224.0,27.93,32.55,25.3,67.71,82.6,37.69,1.5510000000000002,199.0,6.096,268.8,19.69,0.2,11,8,2020
119,225.0,26.05,29.01,23.24,71.6,86.2,56.95,2.213,251.0,6.282,235.4,26.36,0.0,12,8,2020
117,226.0,24.94,28.95,20.98,64.57,82.1,36.36,1.535,267.1,5.949,239.5,26.82,0.0,13,8,2020
102,227.0,24.69,29.28,20.72,61.41,78.1,29.82,0.85,271.7,3.9,247.3,26.7,0.0,14,8,2020
63,228.0,24.9,28.02,20.92,62.59,77.0,37.36,2.367,271.0,7.58,273.2,26.29,0.0,15,8,2020
54,230.0,23.19,28.35,18.79,68.99,80.7,46.81,0.907,137.0,4.871,258.1,26.86,0.0,17,8,2020
53,231.0,24.55,31.48,18.26,59.48,82.1,23.74,0.471,74.4,2.127,142.1,26.66,0.0,18,8,2020
74,232.0,24.75,28.41,20.32,62.19,79.1,43.7,0.586,267.2,2.646,252.8,25.06,0.0,19,8,2020
60,233.0,24.47,30.01,20.05,69.31,87.3,37.41,0.627,237.6,3.028,284.2,23.37,0.0,20,8,2020
51,234.0,24.12,27.54,20.05,70.9,84.4,39.57,0.841,225.8,3.489,279.1,25.02,0.0,21,8,2020
